data,events,placarFull,placarHafTime,golsHalfTime,timesgol
01.12.2021,Nantes v Marseille,0-1,0 - 1,[],100
01.12.2021,PSG v Nice,0-0,0 - 0,[],100
01.12.2021,Rennes v Lille,1-2,0 - 2,[85],85
01.12.2021,Angers v Monaco,1-3,0 - 2,"[55, 73]",55
01.12.2021,Brest v St. Etienne,1-0,0 - 0,[64],64
01.12.2021,Metz v Montpellier,1-3,0 - 2,"[48, 70]",48
01.12.2021,Strasbourg v Bordeaux,5-2,3 - 1,"[48, 57, 65]",48
01.12.2021,Troyes v Lorient,2-0,2 - 0,[],100
28.11.2021,Marseille v Troyes,1-0,0 - 0,[74],74
28.11.2021,Montpellier v Lyon,0-1,0 - 1,[],100
28.11.2021,Bordeaux v Brest,1-2,1 - 0,"[60, 66]",60
28.11.2021,Lorient v Rennes,0-2,0 - 0,"[75, 78]",75
28.11.2021,Monaco v Strasbourg,1-1,1 - 0,[48],48
28.11.2021,Reims v Clermont,1-0,0 - 0,[91],91
28.11.2021,St. Etienne v PSG,1-3,1 - 1,"[79, 91]",79
27.11.2021,Nice v Metz,0-1,0 - 1,[],100
27.11.2021,Lille v Nantes,1-1,1 - 1,[],100
26.11.2021,Lens v Angers,2-2,0 - 1,"[48, 55, 70]",48
21.11.2021,Clermont v Nice,1-2,1 - 0,"[76, 82]",76
21.11.2021,Angers v Lorient,1-0,0 - 0,[68],68
21.11.2021,Metz v Bordeaux,3-3,1 - 2,"[51, 65, 70]",51
21.11.2021,Strasbourg v Reims,1-1,0 - 1,[96],96
21.11.2021,Troyes v St. Etienne,0-1,0 - 0,[60],60
21.11.2021,Brest v Lens,4-0,3 - 0,[69],69
20.11.2021,Rennes v Montpellier,2-0,2 - 0,[],100
20.11.2021,PSG v Nantes,3-1,1 - 0,"[76, 81, 87]",76
19.11.2021,Monaco v Lille,2-2,1 - 2,[83],83
07.11.2021,Rennes v Lyon,4-1,1 - 0,"[51, 76, 83, 92]",51
07.11.2021,Nice v Montpellier,0-1,0 - 0,[80],80
07.11.2021,Lorient v Brest,1-2,1 - 0,"[58, 80]",58
07.11.2021,Nantes v Strasbourg,2-2,1 - 1,"[48, 68]",48
07.11.2021,Reims v Monaco,0-0,0 - 0,[],100
07.11.2021,St. Etienne v Clermont,3-2,0 - 0,"[59, 64, 78, 91, 93]",59
07.11.2021,Marseille v Metz,0-0,0 - 0,[],100
06.11.2021,Bordeaux v PSG,2-3,0 - 2,"[63, 78, 92]",63
06.11.2021,Lille v Angers,1-1,1 - 0,[83],83
05.11.2021,Lens v Troyes,4-0,3 - 0,[60],60
31.10.2021,Clermont v Marseille,0-1,0 - 1,[],100
31.10.2021,Brest v Monaco,2-0,1 - 0,[79],79
31.10.2021,Bordeaux v Reims,3-2,0 - 1,"[63, 73, 78, 94]",63
31.10.2021,Montpellier v Nantes,2-0,0 - 0,"[64, 71]",64
31.10.2021,Strasbourg v Lorient,4-0,3 - 0,[64],64
31.10.2021,Troyes v Rennes,2-2,2 - 1,[81],81
31.10.2021,Angers v Nice,1-2,1 - 0,"[57, 91]",57
30.10.2021,Lyon v Lens,2-1,2 - 0,[61],61
30.10.2021,Metz v St. Etienne,1-1,1 - 1,[],100
29.10.2021,PSG v Lille,2-1,0 - 1,"[74, 88]",74
27.10.2021,Nice v Marseille,1-1,1 - 1,[],100
24.10.2021,Marseille v PSG,0-0,0 - 0,[],100
24.10.2021,Monaco v Montpellier,3-1,2 - 0,"[61, 81]",61
24.10.2021,Lens v Metz,4-1,2 - 1,"[83, 90]",83
24.10.2021,Lorient v Bordeaux,1-1,0 - 0,"[46, 76]",46
24.10.2021,Reims v Troyes,1-2,1 - 1,[66],66
24.10.2021,Rennes v Strasbourg,1-0,0 - 0,[82],82
24.10.2021,Nice v Lyon,3-2,0 - 1,"[68, 81, 89, 91]",68
23.10.2021,Lille v Brest,1-1,1 - 1,[],100
23.10.2021,Nantes v Clermont,2-1,1 - 0,"[49, 61]",49
22.10.2021,St. Etienne v Angers,2-2,0 - 1,"[56, 61, 93]",56
17.10.2021,Marseille v Lorient,4-1,1 - 1,"[56, 85, 91]",56
17.10.2021,Montpellier v Lens,1-0,0 - 0,[47],47
17.10.2021,Bordeaux v Nantes,1-1,0 - 0,"[62, 75]",62
17.10.2021,Brest v Reims,1-1,0 - 1,[74],74
17.10.2021,Metz v Rennes,0-3,0 - 3,[],100
17.10.2021,Strasbourg v St. Etienne,5-1,2 - 1,"[69, 73, 85]",69
17.10.2021,Troyes v Nice,1-0,1 - 0,[],100
16.10.2021,Lyon v Monaco,2-0,0 - 0,"[75, 90]",75
16.10.2021,Clermont v Lille,1-0,1 - 0,[],100
15.10.2021,PSG v Angers,2-1,0 - 1,"[69, 87]",69
03.10.2021,St. Etienne v Lyon,1-1,0 - 1,[94],94
03.10.2021,Lille v Marseille,2-0,1 - 0,[94],94
03.10.2021,Angers v Metz,3-2,0 - 1,"[53, 58, 65, 92]",53
03.10.2021,Lorient v Clermont,1-1,0 - 1,[54],54
03.10.2021,Monaco v Bordeaux,3-0,1 - 0,"[48, 64]",48
03.10.2021,Nantes v Troyes,2-0,0 - 0,"[58, 69]",58
03.10.2021,Rennes v PSG,2-0,1 - 0,[46],46
02.10.2021,Nice v Brest,2-1,1 - 0,"[61, 91]",61
02.10.2021,Montpellier v Strasbourg,1-1,1 - 1,[],100
01.10.2021,Lens v Reims,2-0,1 - 0,[52],52
26.09.2021,Marseille v Lens,2-3,2 - 2,[71],71
26.09.2021,Clermont v Monaco,1-3,1 - 1,"[48, 91]",48
26.09.2021,Brest v Metz,1-2,0 - 1,"[68, 74]",68
26.09.2021,Reims v Nantes,3-1,0 - 0,"[51, 62, 72, 78]",51
26.09.2021,Troyes v Angers,1-1,1 - 0,[65],65
26.09.2021,Bordeaux v Rennes,1-1,0 - 0,"[56, 88]",56
25.09.2021,Lyon v Lorient,1-1,0 - 1,[50],50
25.09.2021,PSG v Montpellier,2-0,1 - 0,[88],88
25.09.2021,Strasbourg v Lille,1-2,0 - 1,"[57, 75]",57
25.09.2021,St. Etienne v Nice,0-3,0 - 1,"[54, 83]",54
22.09.2021,Angers v Marseille,0-0,0 - 0,[],100
22.09.2021,Lens v Strasbourg,0-1,0 - 0,[67],67
22.09.2021,Lorient v Nice,1-0,1 - 0,[],100
22.09.2021,Lyon v Troyes,3-1,0 - 1,"[48, 72, 87]",48
22.09.2021,Metz v PSG,1-2,1 - 1,[94],94
22.09.2021,Lille v Reims,2-1,2 - 0,[74],74
22.09.2021,Monaco v St. Etienne,3-1,1 - 1,"[62, 86]",62
22.09.2021,Montpellier v Bordeaux,3-3,1 - 2,"[50, 71, 85]",50
22.09.2021,Nantes v Brest,3-1,1 - 0,"[55, 58, 67]",55
22.09.2021,Rennes v Clermont,6-0,2 - 0,"[55, 57, 64, 77]",55
19.09.2021,PSG v Lyon,2-1,0 - 0,"[54, 66, 92]",54
