events,placarFull,placarHafTime,golsHalfTime,timesgol
Brighton v Sheffield Utd,1-1,0 - 0,"[63, 87]",63
Newcastle v Fulham,1-1,0 - 1,[64],64
Everton v Arsenal,2-1,2 - 1,[],100
Southampton v Manchester City,0-1,0 - 1,[],100
Crystal Palace v Liverpool,0-7,0 - 3,"[52, 68, 81, 84]",52
Sheffield Utd v Manchester Utd,2-3,1 - 2,"[51, 87]",51
Aston Villa v Burnley,0-0,0 - 0,[],100
Fulham v Brighton,0-0,0 - 0,[],100
Liverpool v Tottenham,2-1,1 - 1,[90],90
West Ham v Crystal Palace,1-1,0 - 1,[55],55
Arsenal v Southampton,1-1,0 - 1,[52],52
Leeds v Newcastle,5-2,1 - 1,"[61, 65, 77, 85, 88]",61
Leicester v Everton,0-2,0 - 1,[72],72
Manchester City v West Bromwich,1-1,1 - 1,[],100
Wolverhampton v Chelsea,2-1,0 - 0,"[49, 66, 95]",49
Arsenal v Burnley,0-1,0 - 0,[73],73
Leicester v Brighton,3-0,3 - 0,[],100
Fulham v Liverpool,1-1,1 - 0,[79],79
Crystal Palace v Tottenham,1-1,0 - 1,[81],81
Southampton v Sheffield Utd,3-0,1 - 0,"[62, 83]",62
Everton v Chelsea,1-0,1 - 0,[],100
Manchester Utd v Manchester City,0-0,0 - 0,[],100
Newcastle v West Bromwich,2-1,1 - 0,"[50, 82]",50
Wolverhampton v Aston Villa,0-1,0 - 0,[94],94
Leeds v West Ham,1-2,1 - 1,[80],80
Brighton v Southampton,1-2,1 - 1,[81],81
Liverpool v Wolverhampton,4-0,1 - 0,"[58, 67, 78]",58
Tottenham v Arsenal,2-0,2 - 0,[],100
Sheffield Utd v Leicester,1-2,1 - 1,[90],90
West Bromwich v Crystal Palace,1-5,1 - 1,"[55, 59, 68, 82]",55
Chelsea v Leeds,3-1,1 - 1,"[61, 93]",61
West Ham v Manchester Utd,1-3,1 - 0,"[65, 68, 78]",65
Manchester City v Fulham,2-0,2 - 0,[],100
Burnley v Everton,1-1,1 - 1,[],100
West Ham v Aston Villa,2-1,1 - 1,[46],46
Leicester v Fulham,1-2,0 - 2,[86],86
Arsenal v Wolverhampton,1-2,1 - 2,[],100
Chelsea v Tottenham,0-0,0 - 0,[],100
Southampton v Manchester Utd,2-3,2 - 0,"[59, 74, 92]",59
West Bromwich v Sheffield Utd,1-0,1 - 0,[],100
Everton v Leeds,0-1,0 - 0,[79],79
Manchester City v Burnley,5-0,3 - 0,"[66, 69]",66
Brighton v Liverpool,1-1,0 - 0,"[60, 93]",60
Crystal Palace v Newcastle,0-2,0 - 0,"[88, 90]",88
Wolverhampton v Southampton,1-1,0 - 0,"[58, 75]",58
Burnley v Crystal Palace,1-0,1 - 0,[],100
Liverpool v Leicester,3-0,2 - 0,[86],86
Leeds v Arsenal,0-0,0 - 0,[],100
Sheffield Utd v West Ham,0-1,0 - 0,[56],56
Fulham v Everton,2-3,1 - 3,[70],70
Manchester Utd v West Bromwich,1-0,0 - 0,[56],56
Tottenham v Manchester City,2-0,1 - 0,[65],65
Aston Villa v Brighton,1-2,0 - 1,"[47, 56]",47
Newcastle v Chelsea,0-2,0 - 1,[65],65
Arsenal v Aston Villa,0-3,0 - 1,"[72, 75]",72
Manchester City v Liverpool,1-1,1 - 1,[],100
Leicester v Wolverhampton,1-0,1 - 0,[],100
West Bromwich v Tottenham,0-1,0 - 0,[88],88
West Ham v Fulham,1-0,0 - 0,[91],91
Chelsea v Sheffield Utd,4-1,2 - 1,"[77, 80]",77
Crystal Palace v Leeds,4-1,3 - 1,[70],70
Everton v Manchester Utd,1-3,1 - 2,[95],95
Southampton v Newcastle,2-0,1 - 0,[82],82
Brighton v Burnley,0-0,0 - 0,[],100
Leeds v Leicester,1-4,0 - 2,"[48, 76, 91]",48
Fulham v West Bromwich,2-0,2 - 0,[],100
Tottenham v Brighton,2-1,1 - 0,"[56, 73]",56
Manchester Utd v Arsenal,0-1,0 - 0,[69],69
Newcastle v Everton,2-1,0 - 0,"[56, 84, 91]",56
Aston Villa v Southampton,3-4,0 - 3,"[58, 62, 93, 97]",58
Liverpool v West Ham,2-1,1 - 1,[85],85
Burnley v Chelsea,0-3,0 - 1,"[63, 70]",63
Sheffield Utd v Manchester City,0-1,0 - 1,[],100
Wolverhampton v Crystal Palace,2-0,2 - 0,[],100
Burnley v Tottenham,0-1,0 - 0,[76],76
Brighton v West Bromwich,1-1,1 - 0,[83],83
Arsenal v Leicester,0-1,0 - 0,[80],80
Wolverhampton v Newcastle,1-1,0 - 0,"[80, 89]",80
Southampton v Everton,2-0,2 - 0,[],100
Liverpool v Sheffield Utd,2-1,1 - 1,[64],64
Manchester Utd v Chelsea,0-0,0 - 0,[],100
Fulham v Crystal Palace,1-2,0 - 1,"[64, 95]",64
West Ham v Manchester City,1-1,1 - 0,[51],51
Aston Villa v Leeds,0-3,0 - 0,"[55, 67, 74]",55
Leeds v Wolverhampton,0-1,0 - 0,[70],70
West Bromwich v Burnley,0-0,0 - 0,[],100
Leicester v Aston Villa,0-1,0 - 0,[91],91
Tottenham v West Ham,3-3,3 - 0,"[82, 85, 94]",82
Crystal Palace v Brighton,1-1,1 - 0,[90],90
Sheffield Utd v Fulham,1-1,0 - 0,"[77, 85]",77
Newcastle v Manchester Utd,1-4,1 - 1,"[86, 90, 96]",86
Manchester City v Arsenal,1-0,1 - 0,[],100
Chelsea v Southampton,3-3,2 - 1,"[57, 59, 92]",57
Everton v Liverpool,2-2,1 - 1,"[72, 81]",72
